Level;Start time;Last status time;Side;Amount (UNI);Price (USDC);Order ID
13;26.12.2025 00:35:01;26.12.2025 20:23:28;Sell;4.08;5.975;403b382b6f5344aabc8eff29c87f377f;;;Completed
13;26.12.2025 21:22:40;26.12.2025 22:35:58;Sell;4.81;5.975;d9e1563c400b443ea889a3b58dc6f286;;;Completed
14;25.12.2025 11:54:59;27.12.2025 01:25:31;Sell;3.31;6.035;d4f2d71f88ca4c4a84284705e173fb7f;;;Completed
12;26.12.2025 20:23:28;27.12.2025 03:34:57;Buy;3.73;5.916;9d28569f2d40489dadf8e24773d5437a;;;Completed
13;27.12.2025 03:29:10;27.12.2025 15:14:22;Sell;4.26;5.975;e52f33112ae24c2f87ec5bcef0eeb103;;;Completed
12;27.12.2025 15:14:22;27.12.2025 15:49:08;Buy;3.62;5.916;2108657b14ae45fda1dbf1254143bb28;;;Completed
11;26.12.2025 22:35:58;27.12.2025 15:49:10;Buy;3.66;5.857;2dcb4bd122384054bc3817bcfe93d505;;;Completed
12;27.12.2025 15:49:11;27.12.2025 16:03:27;Sell;4.71;5.916;90e5f84db1824c67944bb8837117d129;;;Completed
27;27.12.2025 16:03:27;27.12.2025 16:03:29;Sell;4.4;6.868;3002346fa9aa40fc91756ecb4ca41601;;;Open
13;27.12.2025 15:36:15;27.12.2025 16:47:15;Sell;4.23;5.975;0caa40c620384d5caaf49650fbd8945b;;;Completed
13;27.12.2025 17:11:21;27.12.2025 17:58:52;Sell;4.12;5.975;05167b932a064cd7a2e5998b4def4d46;;;Completed
13;27.12.2025 18:15:37;27.12.2025 18:24:38;Sell;3.84;5.975;4eb4aac1ba814ec19c06b5f84a12b62b;;;Completed
28;27.12.2025 18:24:38;27.12.2025 18:24:39;Sell;3.59;6.937;56c6a9974cdf40c093bcd6011bd45d54;;;Open
14;27.12.2025 01:30:16;27.12.2025 19:16:44;Sell;4.26;6.035;fd768bb868464ebc8f00182d868a9f5c;;;Completed
14;27.12.2025 20:03:43;27.12.2025 21:08:22;Sell;3.31;6.035;efcf7f07800040e2b91f8ad1016333e9;;;Completed
29;27.12.2025 21:08:22;27.12.2025 21:08:23;Sell;3.08;7.006;a4ac21d4f35c4b4b81f6fc4bca2ab85b;;;Open
15;22.12.2025 22:15:14;27.12.2025 21:18:15;Sell;3.28;6.095;3bb79b55274745fca729791fc59a4411;;;Completed
